City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,srivardhan,18.0333,73.0167,300.09,91,100,4.12,IN,1717872728
334,bangassou,4.7413,22.8184,295.73,87,94,1.07,CF,1717872729
335,achacachi,-16.05,-68.6833,285.85,24,92,5.37,BO,1717872729
336,colares,38.7992,-9.4469,293.89,90,40,5.81,PT,1717872729
337,codrington,-38.2667,141.9667,285.27,69,100,4.6,AU,1717872729
338,la ronge,55.1001,-105.2842,282.29,61,100,5.66,CA,1717872729
339,montorio al vomano,42.5831,13.6383,297.48,66,100,3.44,IT,1717872729
340,surgeres,46.1,-0.75,293.78,67,88,3.77,FR,1717872729
341,loango,-4.6719,11.8312,296.96,83,20,1.03,CG,1717872729
342,enewetak,11.3474,162.3373,301.31,81,31,6.71,MH,1717872729
343,sona,45.4388,10.8255,299.18,69,75,2.57,IT,1717872729
344,pionerskiy,54.9508,20.2275,290.06,80,100,5.42,RU,1717872729
345,kimbe,-5.5502,150.1429,296.92,92,65,1.92,PG,1717872729
346,holualoa,19.6228,-155.9522,298.06,83,0,5.14,US,1717872729
347,amatitan,20.8333,-103.7167,309.17,20,6,2.12,MX,1717872729
348,tatarsk,55.219,75.9828,282.73,95,9,3.24,RU,1717872730
349,arkalyk,50.2486,66.9114,293.14,73,91,1.26,KZ,1717872730
350,miyaly,48.8844,53.7836,295.43,61,67,5.72,KZ,1717872441
351,santa cruz,-17.8,-63.1667,304.18,51,20,9.26,BO,1717872421
352,nizhnegorskiy,45.4479,34.7384,293.64,58,2,1.3,UA,1717872730
353,stephenville,32.2207,-98.2023,308.29,42,0,7.2,US,1717872730
354,antofagasta,-23.65,-70.4,294.75,77,31,2.94,CL,1717872406
355,olyokminsk,60.3736,120.4264,280.44,91,97,1.99,RU,1717872730
356,thunder bay,48.4001,-89.3168,293.14,45,75,9.77,CA,1717872594
357,pudozh,61.8099,36.5345,286.45,66,100,1.34,RU,1717872730
358,woolgoolga,-30.1106,153.2007,281.08,73,0,2.32,AU,1717872730
359,boa vista,2.8197,-60.6733,303.14,66,40,1.03,BR,1717872730
360,turabah,21.2141,41.6331,305.11,22,1,7.13,SA,1717872730
361,east london,-33.0153,27.9116,286.67,82,0,2.06,ZA,1717872730
